case_id,scenario,gold_factor_position,gold_factor_type,gold_factor_description,agentic_factor_count,agentic_factor_summary,recorded_agentic_evidence,reviewer_A_covered,reviewer_A_notes,reviewer_B_covered,reviewer_B_notes,reviewer_C_covered,reviewer_C_notes,consensus_covered,consensus_status,consensus_notes
AGX-001,在家连续复习了四十多分钟，中间没停过。现在只有十分钟空档，离睡觉还有大约一小时，我不想做活动，只想安静歇一下，接下来怎么安排？,1,behavior_need,continuous study needs interruption,4,F1:study_break | F2:sedentary | F3:sleep | F4:light_recovery,"domains=['study_break', 'sedentary', 'sleep', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-003-004B,KC-SRC-001-003; F2:KC-SRC-007-004,KC-SRC-001-005,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-001-003; F3:KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-007,KC-SRC-001-007; F4:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B | explanation=因连续用眼已超建议时长，当前可用时间较短且倾向安静，远眺加轻微活动组合既能科学护眼，又无需强体力投入，契合休息需求与后续睡眠准备。",,,,,,,,,
AGX-008,晚上连续学习四十分钟，现在有十分钟休息，一会儿就要睡觉了，怎么休息合适？,3,memory_preference,explicitly prefers MT-BREAK-001 far-view rest,4,F1:study_break | F2:sleep | F3:light_recovery | F4:sedentary,"domains=['study_break', 'sleep', 'light_recovery', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-008-002A,KC-SRC-003-004B; F2:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F3:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-003-004A,KC-SRC-001-007,KC-SRC-004-001; F4:KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-006,KC-SRC-003-004B,KC-SRC-001-003 | explanation=该任务匹配当前情境：连续用眼后需及时放松，且休息时长与指令一致；远眺加轻微活动既能缓解视疲劳，又避免兴奋影响入睡，符合睡前安静过渡需求；证据明确支持此组合为标准护眼休息方式。",,,,,,,,,
AGX-009,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,1,behavior_need,eye fatigue from close work needs relief,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:light_recovery,"domains=['study_break', 'eye_health', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-006; F2:KC-SRC-003-003,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-006; F3:KC-SRC-007-003,KC-SRC-001-003,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-004-005; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B,KC-SRC-004-003 | explanation=该任务匹配当前用眼疲劳与久坐需求，远眺缓解眼肌紧张，轻微活动改善血液循环；任务指令明确支持10分钟组合休息，证据强调40分钟用眼后需此方式放松，完全契合用户现状。",,,,,,,,,
AGX-009,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,2,behavior_need,prolonged sitting needs movement,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:light_recovery,"domains=['study_break', 'eye_health', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-006; F2:KC-SRC-003-003,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-006; F3:KC-SRC-007-003,KC-SRC-001-003,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-004-005; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B,KC-SRC-004-003 | explanation=该任务匹配当前用眼疲劳与久坐需求，远眺缓解眼肌紧张，轻微活动改善血液循环；任务指令明确支持10分钟组合休息，证据强调40分钟用眼后需此方式放松，完全契合用户现状。",,,,,,,,,
AGX-009,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,3,soft_preference,wants a combined rest for eyes and sitting,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:light_recovery,"domains=['study_break', 'eye_health', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-006; F2:KC-SRC-003-003,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-006; F3:KC-SRC-007-003,KC-SRC-001-003,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-004-005; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B,KC-SRC-004-003 | explanation=该任务匹配当前用眼疲劳与久坐需求，远眺缓解眼肌紧张，轻微活动改善血液循环；任务指令明确支持10分钟组合休息，证据强调40分钟用眼后需此方式放松，完全契合用户现状。",,,,,,,,,
AGX-009,写作业坐了一小时，眼睛也酸了，现在有十分钟休息，想一举两得，怎么安排？,4,time_constraint,10 minutes available,4,F1:study_break | F2:eye_health | F3:physical_activity | F4:light_recovery,"domains=['study_break', 'eye_health', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-001-006; F2:KC-SRC-003-003,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-008-006; F3:KC-SRC-007-003,KC-SRC-001-003,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-004-005; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-003-004B,KC-SRC-004-003 | explanation=该任务匹配当前用眼疲劳与久坐需求，远眺缓解眼肌紧张，轻微活动改善血液循环；任务指令明确支持10分钟组合休息，证据强调40分钟用眼后需此方式放松，完全契合用户现状。",,,,,,,,,
AGX-010,学校机房马上上课，我用电脑时发现屏幕离眼睛很近，只剩一分钟，先做什么？,1,behavior_need,screen too close needs distance correction,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-004-003; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-002,KC-SRC-007-003,KC-SRC-003-004A; F4:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-006 | explanation=当前可用时间较短，需优先处理最紧迫的用眼风险。屏幕距离过近会加剧视疲劳，而调整观看距离操作简单、见效最快，且任务指令明确要求检查并达标。机房环境允许立即微调坐姿或屏幕位置，无需额外工具或时间，符合快速响应需求。",,,,,,,,,
AGX-010,学校机房马上上课，我用电脑时发现屏幕离眼睛很近，只剩一分钟，先做什么？,2,context_constraint,in school computer room,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-004-003; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-002,KC-SRC-007-003,KC-SRC-003-004A; F4:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-006 | explanation=当前可用时间较短，需优先处理最紧迫的用眼风险。屏幕距离过近会加剧视疲劳，而调整观看距离操作简单、见效最快，且任务指令明确要求检查并达标。机房环境允许立即微调坐姿或屏幕位置，无需额外工具或时间，符合快速响应需求。",,,,,,,,,
AGX-010,学校机房马上上课，我用电脑时发现屏幕离眼睛很近，只剩一分钟，先做什么？,3,time_constraint,only 1 minute before class,4,F1:eye_health | F2:study_break | F3:physical_activity | F4:light_recovery,"domains=['eye_health', 'study_break', 'physical_activity', 'light_recovery'] | knowledge_trace=F1:KC-SRC-008-008,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-002A; F2:KC-SRC-003-004A,KC-SRC-008-004,KC-SRC-003-004B,KC-SRC-003-002,KC-SRC-004-003; F3:KC-SRC-003-002,KC-SRC-008-008,KC-SRC-007-002,KC-SRC-007-003,KC-SRC-003-004A; F4:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-001-004,KC-SRC-003-004A,KC-SRC-008-006 | explanation=当前可用时间较短，需优先处理最紧迫的用眼风险。屏幕距离过近会加剧视疲劳，而调整观看距离操作简单、见效最快，且任务指令明确要求检查并达标。机房环境允许立即微调坐姿或屏幕位置，无需额外工具或时间，符合快速响应需求。",,,,,,,,,
AGX-011,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,1,behavior_need,maintain fixed sleep schedule,4,F1:sleep | F2:sedentary | F3:light_recovery | F4:sleep,"domains=['sleep', 'sedentary', 'light_recovery', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-007,KC-SRC-004-002; F2:KC-SRC-004-003,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-001-007,KC-SRC-003-004B,KC-SRC-007-002,KC-SRC-003-004A,KC-SRC-008-002B; F4:KC-SRC-004-004,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-001-003 | explanation=已到固定睡觉时间，事情做完且无紧急需求，刷手机习惯易干扰入睡。任务强调保持规律作息与睡眠质量，证据明确要求固定就寝、减少睡前屏幕暴露。当前状态匹配“已完成任务”“易执行”“有助健康”，故优先按习惯时间睡觉。",,,,,,,,,
AGX-011,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,2,context_constraint,at usual bedtime in bedroom,4,F1:sleep | F2:sedentary | F3:light_recovery | F4:sleep,"domains=['sleep', 'sedentary', 'light_recovery', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-007,KC-SRC-004-002; F2:KC-SRC-004-003,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-001-007,KC-SRC-003-004B,KC-SRC-007-002,KC-SRC-003-004A,KC-SRC-008-002B; F4:KC-SRC-004-004,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-001-003 | explanation=已到固定睡觉时间，事情做完且无紧急需求，刷手机习惯易干扰入睡。任务强调保持规律作息与睡眠质量，证据明确要求固定就寝、减少睡前屏幕暴露。当前状态匹配“已完成任务”“易执行”“有助健康”，故优先按习惯时间睡觉。",,,,,,,,,
AGX-011,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,3,memory_preference,found MT-SLEEP-002 helpful before,4,F1:sleep | F2:sedentary | F3:light_recovery | F4:sleep,"domains=['sleep', 'sedentary', 'light_recovery', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-007,KC-SRC-004-002; F2:KC-SRC-004-003,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-001-007,KC-SRC-003-004B,KC-SRC-007-002,KC-SRC-003-004A,KC-SRC-008-002B; F4:KC-SRC-004-004,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-001-003 | explanation=已到固定睡觉时间，事情做完且无紧急需求，刷手机习惯易干扰入睡。任务强调保持规律作息与睡眠质量，证据明确要求固定就寝、减少睡前屏幕暴露。当前状态匹配“已完成任务”“易执行”“有助健康”，故优先按习惯时间睡觉。",,,,,,,,,
AGX-011,已经到我平时睡觉的时间，事情都做完了，但我习惯睡前再刷会儿手机，接下来怎么安排？,4,soft_preference,habitually scrolls phone before bed,4,F1:sleep | F2:sedentary | F3:light_recovery | F4:sleep,"domains=['sleep', 'sedentary', 'light_recovery', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-007,KC-SRC-004-002; F2:KC-SRC-004-003,KC-SRC-001-003,KC-SRC-004-005,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-001-007,KC-SRC-003-004B,KC-SRC-007-002,KC-SRC-003-004A,KC-SRC-008-002B; F4:KC-SRC-004-004,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-001-003 | explanation=已到固定睡觉时间，事情做完且无紧急需求，刷手机习惯易干扰入睡。任务强调保持规律作息与睡眠质量，证据明确要求固定就寝、减少睡前屏幕暴露。当前状态匹配“已完成任务”“易执行”“有助健康”，故优先按习惯时间睡觉。",,,,,,,,,
AGX-012,晚上在家写作业，屋里光线有点暗，马上要继续写，只有两分钟可以先整理一下，先做什么？,1,behavior_need,poor lighting harms reading eye health,4,F1:light_recovery | F2:study_break | F3:eye_health | F4:physical_activity,"domains=['light_recovery', 'study_break', 'eye_health', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-002,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-008-002A,KC-SRC-008-008; F2:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-006,KC-SRC-008-002B,KC-SRC-008-008; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-008-008,KC-SRC-008-006 | explanation=因室内光线较暗且即将连续用眼，开顶灯可提升整体照度、减少明暗对比，缓解暗光下用眼负担；任务指令明确要求晚间学习时台灯与顶灯同开，证据直接支持该做法对视觉健康的必要性。",,,,,,,,,
AGX-012,晚上在家写作业，屋里光线有点暗，马上要继续写，只有两分钟可以先整理一下，先做什么？,2,context_constraint,evening study at home,4,F1:light_recovery | F2:study_break | F3:eye_health | F4:physical_activity,"domains=['light_recovery', 'study_break', 'eye_health', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-002,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-008-002A,KC-SRC-008-008; F2:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-006,KC-SRC-008-002B,KC-SRC-008-008; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-008-008,KC-SRC-008-006 | explanation=因室内光线较暗且即将连续用眼，开顶灯可提升整体照度、减少明暗对比，缓解暗光下用眼负担；任务指令明确要求晚间学习时台灯与顶灯同开，证据直接支持该做法对视觉健康的必要性。",,,,,,,,,
AGX-012,晚上在家写作业，屋里光线有点暗，马上要继续写，只有两分钟可以先整理一下，先做什么？,3,time_constraint,only 2 minutes to fix setup,4,F1:light_recovery | F2:study_break | F3:eye_health | F4:physical_activity,"domains=['light_recovery', 'study_break', 'eye_health', 'physical_activity'] | knowledge_trace=F1:KC-SRC-003-002,KC-SRC-008-002B,KC-SRC-001-004,KC-SRC-008-002A,KC-SRC-008-008; F2:KC-SRC-003-003,KC-SRC-004-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-001-006; F3:KC-SRC-003-002,KC-SRC-003-003,KC-SRC-008-006,KC-SRC-008-002B,KC-SRC-008-008; F4:KC-SRC-007-003,KC-SRC-003-004A,KC-SRC-003-002,KC-SRC-008-008,KC-SRC-008-006 | explanation=因室内光线较暗且即将连续用眼，开顶灯可提升整体照度、减少明暗对比，缓解暗光下用眼负担；任务指令明确要求晚间学习时台灯与顶灯同开，证据直接支持该做法对视觉健康的必要性。",,,,,,,,,
AGX-013,在家连续读了四十分钟书，现在有十分钟休息，阳台和楼下都可以去，怎么休息合适？,1,behavior_need,continuous reading needs interruption,4,F1:study_break | F2:outdoor | F3:physical_activity | F4:eye_health,"domains=['study_break', 'outdoor', 'physical_activity', 'eye_health'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-004B; F2:KC-SRC-001-005,KC-SRC-001-001,KC-SRC-001-003,KC-SRC-003-004A,KC-SRC-003-003; F3:KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-008-005,KC-SRC-001-005; F4:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-004B | explanation=选“读写后的户外休息”因符合用眼后及时远眺放松的科学要求，阳台或楼下均满足户外条件，且10分钟时长与指令完全匹配；证据明确支持该时段应通过户外活动缓解视疲劳。",,,,,,,,,
AGX-013,在家连续读了四十分钟书，现在有十分钟休息，阳台和楼下都可以去，怎么休息合适？,2,context_constraint,outdoor space accessible from home,4,F1:study_break | F2:outdoor | F3:physical_activity | F4:eye_health,"domains=['study_break', 'outdoor', 'physical_activity', 'eye_health'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-004B; F2:KC-SRC-001-005,KC-SRC-001-001,KC-SRC-001-003,KC-SRC-003-004A,KC-SRC-003-003; F3:KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-008-005,KC-SRC-001-005; F4:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-004B | explanation=选“读写后的户外休息”因符合用眼后及时远眺放松的科学要求，阳台或楼下均满足户外条件，且10分钟时长与指令完全匹配；证据明确支持该时段应通过户外活动缓解视疲劳。",,,,,,,,,
AGX-013,在家连续读了四十分钟书，现在有十分钟休息，阳台和楼下都可以去，怎么休息合适？,3,memory_preference,positive feedback prefers MT-OUT-001 outdoor rest,4,F1:study_break | F2:outdoor | F3:physical_activity | F4:eye_health,"domains=['study_break', 'outdoor', 'physical_activity', 'eye_health'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-004B; F2:KC-SRC-001-005,KC-SRC-001-001,KC-SRC-001-003,KC-SRC-003-004A,KC-SRC-003-003; F3:KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-008-005,KC-SRC-001-005; F4:KC-SRC-008-006,KC-SRC-003-003,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-004B | explanation=选“读写后的户外休息”因符合用眼后及时远眺放松的科学要求，阳台或楼下均满足户外条件，且10分钟时长与指令完全匹配；证据明确支持该时段应通过户外活动缓解视疲劳。",,,,,,,,,
AGX-014,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,1,sleep_factor,weekend wake-time deviation from school days,4,F1:sleep | F2:sleep | F3:sleep | F4:sleep,"domains=['sleep', 'sleep', 'sleep', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-006,KC-SRC-008-002B; F2:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003; F3:KC-SRC-001-006,KC-SRC-008-007,KC-SRC-001-004,KC-SRC-004-004,KC-SRC-007-004; F4:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003 | explanation=因上学日固定早起已形成稳定生物钟，周末大幅推迟起床易扰乱节律；任务证据明确支持平均起床时间偏差不超过1小时，当前选择符合健康睡眠中作息稳定的核心要求。",,,,,,,,,
AGX-014,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,2,context_constraint,weekend at home,4,F1:sleep | F2:sleep | F3:sleep | F4:sleep,"domains=['sleep', 'sleep', 'sleep', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-006,KC-SRC-008-002B; F2:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003; F3:KC-SRC-001-006,KC-SRC-008-007,KC-SRC-001-004,KC-SRC-004-004,KC-SRC-007-004; F4:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003 | explanation=因上学日固定早起已形成稳定生物钟，周末大幅推迟起床易扰乱节律；任务证据明确支持平均起床时间偏差不超过1小时，当前选择符合健康睡眠中作息稳定的核心要求。",,,,,,,,,
AGX-014,今天是周六，上学日我七点起床，昨晚睡得不算早。我正考虑周末多睡会儿，睡到十点可以吗？,3,soft_preference,wants to sleep in later on weekend,4,F1:sleep | F2:sleep | F3:sleep | F4:sleep,"domains=['sleep', 'sleep', 'sleep', 'sleep'] | knowledge_trace=F1:KC-SRC-004-004,KC-SRC-007-004,KC-SRC-001-004,KC-SRC-001-006,KC-SRC-008-002B; F2:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003; F3:KC-SRC-001-006,KC-SRC-008-007,KC-SRC-001-004,KC-SRC-004-004,KC-SRC-007-004; F4:KC-SRC-008-007,KC-SRC-001-006,KC-SRC-001-004,KC-SRC-007-004,KC-SRC-008-003 | explanation=因上学日固定早起已形成稳定生物钟，周末大幅推迟起床易扰乱节律；任务证据明确支持平均起床时间偏差不超过1小时，当前选择符合健康睡眠中作息稳定的核心要求。",,,,,,,,,
AGX-015,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,1,behavior_need,eye fatigue from close work needs a break,4,F1:eye_health | F2:study_break | F3:light_recovery | F4:outdoor,"domains=['eye_health', 'study_break', 'light_recovery', 'outdoor'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-002; F2:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-008-006,KC-SRC-007-004 | explanation=因连续用眼导致视疲劳，当前可用时间较短，远眺加轻微活动能同步缓解睫状肌紧张与身体僵硬，任务指令明确支持该组合方式，且证据强调此法符合用眼卫生原则。",,,,,,,,,
AGX-015,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,2,memory_preference,negative feedback dislikes far-view-only rest,4,F1:eye_health | F2:study_break | F3:light_recovery | F4:outdoor,"domains=['eye_health', 'study_break', 'light_recovery', 'outdoor'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-002; F2:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-008-006,KC-SRC-007-004 | explanation=因连续用眼导致视疲劳，当前可用时间较短，远眺加轻微活动能同步缓解睫状肌紧张与身体僵硬，任务指令明确支持该组合方式，且证据强调此法符合用眼卫生原则。",,,,,,,,,
AGX-015,连续看书写字四十多分钟，眼睛有点累，现在有十分钟休息，怎么休息更好？,3,soft_preference,wants a rest style that is easy to sustain,4,F1:eye_health | F2:study_break | F3:light_recovery | F4:outdoor,"domains=['eye_health', 'study_break', 'light_recovery', 'outdoor'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-008-008,KC-SRC-003-002; F2:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-001-004,KC-SRC-007-003,KC-SRC-003-004A; F3:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-008-004,KC-SRC-007-003,KC-SRC-003-004B; F4:KC-SRC-003-004A,KC-SRC-003-003,KC-SRC-007-003,KC-SRC-008-006,KC-SRC-007-004 | explanation=因连续用眼导致视疲劳，当前可用时间较短，远眺加轻微活动能同步缓解睫状肌紧张与身体僵硬，任务指令明确支持该组合方式，且证据强调此法符合用眼卫生原则。",,,,,,,,,
AGX-016,在学校连续写了四十分钟作业，现在有十分钟课间。操场在维修不能去户外，只能室内走廊走走，怎么休息合适？,1,behavior_need,continuous writing needs a break from close work,4,F1:study_break | F2:physical_activity | F3:outdoor | F4:sedentary,"domains=['study_break', 'physical_activity', 'outdoor', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-004-003,KC-SRC-003-004B; F2:KC-SRC-008-004,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005; F3:KC-SRC-001-005,KC-SRC-008-005,KC-SRC-001-001,KC-SRC-008-003,KC-SRC-008-006; F4:KC-SRC-003-002,KC-SRC-008-004,KC-SRC-001-005,KC-SRC-008-008,KC-SRC-008-006 | explanation=因连续读写后眼睛疲劳，且可用时间较短、活动受限，远眺加轻微活动能兼顾视觉放松与身体舒展。任务指令明确匹配当前用眼时长与休息需求，证据指出此组合符合护眼科学建议。",,,,,,,,,
AGX-016,在学校连续写了四十分钟作业，现在有十分钟课间。操场在维修不能去户外，只能室内走廊走走，怎么休息合适？,2,context_constraint,school recess with outdoor unavailable,4,F1:study_break | F2:physical_activity | F3:outdoor | F4:sedentary,"domains=['study_break', 'physical_activity', 'outdoor', 'sedentary'] | knowledge_trace=F1:KC-SRC-003-003,KC-SRC-008-006,KC-SRC-003-004A,KC-SRC-004-003,KC-SRC-003-004B; F2:KC-SRC-008-004,KC-SRC-003-004A,KC-SRC-007-003,KC-SRC-003-003,KC-SRC-001-005; F3:KC-SRC-001-005,KC-SRC-008-005,KC-SRC-001-001,KC-SRC-008-003,KC-SRC-008-006; F4:KC-SRC-003-002,KC-SRC-008-004,KC-SRC-001-005,KC-SRC-008-008,KC-SRC-008-006 | explanation=因连续读写后眼睛疲劳，且可用时间较短、活动受限，远眺加轻微活动能兼顾视觉放松与身体舒展。任务指令明确匹配当前用眼时长与休息需求，证据指出此组合符合护眼科学建议。",,,,,,,,,
